"question","choices","answer"
"What is the typical range of specific impulse for liquid monopropellant systems?","['45 - 75s', '200 - 235s', '274 - 467s', '500 - 3000s']","200 - 235s"
"Which of these statements are true of solid rockets?","['They are relatively simple to build and operate', 'They provide limited ability to control thrust', 'They inherently produce more thrust than liquid rockets', 'They generate a lot of noise and vibration']","They are relatively simple to build and operate"
"Which modulation method can have a combination of 2 bits per symbol, a code rate of 0.5 and a spectral efficiency of about 1.0","['BPSK', 'QPSK', '8-PSK', '16-PSK']","QPSK"
"What causes the difference between the spectral irradiance at the top of the atmosphere and at sea level?","['The passage of airplanes', 'The presence of water in the atmosphere', 'The presence of CO2', 'The high albedo (about 0.9) at the poles']","The presence of water in the atmosphere"
"Which is a major contribution to the antenna pointing error on-board satellite?","['thermal distortions', 'atmospheric residual drag', 'fixed misalignment']","thermal distortions"
"During which year the Shuttle approach and landing tests took place?","['1974', '1975', '1976', '1977', '1978']","1977"
"There are various combinations of fuel and oxidizer which exist. Which combination gives the biggest Isp among the following?","['LOX/LH2', 'N2H4/LOX', 'N2H4/N2O4', 'Kerosene/N2O4', 'MMH/N2O4']","LOX/LH2"
"Assuming that D_ideal is the ideal antenna maximum directivity and A_theta is the coverage area in deg^2: Which of the following is a valid formula expressing the maximum directivity achievable for an ideal antenna that covers a small solid angle?","['D_ideal = 10 * log (A_theta)', 'D_ideal = exp(-A_theta)', 'D_ideal = A_theta / log(A_theta)', 'D_ideal = 46.15 - 10 * log(A_theta)']","D_ideal = 46.15 - 10 * log(A_theta)"
"Which of the following methods are well known for propellant gauging in satellite propellant subsystems?","['Pressure-Volume-Temperature', 'Entropy-Enthalpy-Gibbs', 'Book-keeping', 'Station-keeping']","Pressure-Volume-Temperature"
"The solar prominence are bright features extending far into space. They can last from a few dozen hours to months. What can be their size?","['Up to the distance from the Sun to Mercury', 'Up to the distance from the Sun to Earth', ""A siginificant fraction of the Sun's radius"", 'Up to the size of the Earth']","Up to the size of the Earth"
"Consider a propellant feed system with two valves in series. Valve one has a probability of failure in close position of 0.01 and the other valve has a probability of failure in close position of 0.02. If any of the valve fail in the close position, the propellant cannot flow anymore. What is the overall reliability R of the feed system to still be open?","['Approximately 0.95', 'Approximately 0.97', 'Approximately 0.03', 'Approximately 0.02', 'Exactly 0.87', 'Exactly 0.76']","Approximately 0.97"
"There is no burn during the slingshot maneuvers and yet the speed in the heliocentric reference frame increases. How is that possible?","['At the periapsis of the slingshot, some massive object is jettisoned', 'An ion thruster is systematically switched on and this type of propulsion is only efficient in planetary neighborhood', 'The velocity vector of the probe is not changed in norm, but in direction in the planetocentric reference frame']","The velocity vector of the probe is not changed in norm, but in direction in the planetocentric reference frame"
"In spacecraft link analysis which is the name used to refer to the signal transmitted from end users (for instance military troops) to the satellite?","['Forward uplink', 'Forward downlink', 'Return downlink', 'Return uplink']","Return uplink"
"What is the main driver of the shape of solar prominences ?","['Van Allen radiation belts', 'Earth', 'Magnetic fields generated by the sun', 'The orbital forces of Mercury']","Magnetic fields generated by the sun"
"Which of the following vehicles were able to bring crews to the ISS, until 2011? (Select all that applies)","['Soyuz', 'Progress', 'Dragon', 'Space Shuttle', 'Shenzhou']","Soyuz"
"Which of the following definition is correct in the domain of spacecraft mechanisms?","['Deployables - devices used to provide optical adjustments for space instruments', 'Drives - devices requiring continuous or frequent operation for the life of the mission where wear, lubrication and life are critical', 'Instrument mechanisms - devices generally used to create spacecraft on-orbit configurations which are larger than can be packed in the launch vehicle fairing']","Drives - devices requiring continuous or frequent operation for the life of the mission where wear, lubrication and life are critical"
"The exterior of a satellite must be covered with a coating. What would be the best choice such that the temperature of the satellite is the lowest possible?","['Gold (alpha = 0.299, epsilon = 0.023)', 'White Epoxy (alpha = 0.248, epsilon = 0.924)', 'Titanium (alpha = 0.448, epsilon = 0.129)', 'Aluminum (alpha = 0.379, epsilon = 0.0346)']","White Epoxy (alpha = 0.248, epsilon = 0.924)"
